Project,Tasks involved,,,,,,
ACCOUNT SET-UP,Ensure Talents sign up on account,,,,,,
,Ensure the talent account remians active,,,,,,
,,,,,,,
,,,,,,,
ORIGINAL CLIPS,Ensure talents create and publish on an exclusive basis,,,,,,
,Ensure all clips uploaded on platform adhere to the necessary terms and conditions for an upload.,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,views,
COMMITMENT,Ensure Influencers uphold the commitment to create and publish to the platform (5) original clips per term month,For Influencers,influencers,Nedu,video 1,42.7k,video 2--1.2k
,Ensure clips are forwarded from the plaform to the social network platform,,,seyi shay,1,44.7k,
,,,,timini,1,12.3k,29 duets
,Ensure talents in this category upload (10) original clips per term month,college student creators,campus creators,46,,,
,Ensure clips are forwarded from he platform (15) original clips to social network platform,,,total videos created::709,,6032.9,
,,,,,,,
CONTRACT BREACH,avoid unauthorized changes on original clips which have already been accepted,PROMOTIONAL BREACH,,,,,
,Avoid removing/deleting an orginal clip that has been published on the platform or social media accounts without a prior wirtten approval,,,,,,
,Talents failure to meet minimum original clips without a prior written approval,DELIVERY BREACH,,,,,
,FOR INFLUENCERS: Talents failure to meet the minimum 10000VV; 387 without promotion,GUARANTEE VIEW BREACH,,,,,
,FOR CAMPUS CREATORES; 2700 with promotion,,,,,,
,7 days Guaranteed Views after posting original clips,,,,,,
,"Avoid the publication of any talent content that violates applicable law, the terms and policies of the platform or contents that adversely impact the reputation or goodwill of the platform.",CONTENT BREACH,,,,,
